"Username","Comment"
"Rey DG","Resource based sharing economy is the only thing that would save this country and the planet. Problema dito kailangan pa ata bakunahan lahat upang magkatotoo. How stupid are we? Sobrang reachable sana nang solusyon kaso heavily divided with various principles and interests even though this reality is unified by geometry, energy and its synergy?"
"TopperPenquin","In Australia our inflation is rate is idk% "
"Ocean Girl","Diokno, Kendrick Chua, and team, Salamat!"
"Chancy","I've heard the worst. Some countries are suffering from the worst inflation rate. Imagine a billion can only buy you a loaf bread."
"Anthony Greenfield","You cannot compare yourself to other countries. You should do your own thing. Philippine inflation is still very high. Even pre covid."
"Eduardo Quiban","EVERY  COUNTRIES  OF  ASIA   LIKE  BANGLADESH,  INDIA,   PAKISTAN,   CEYLON,   THEY  WANT  TO  BE
LIKE  PHILIPPINES;    EVERYONE  CLAIMING  TO  BE   THE  SAME..   EVERYONE  CLAIMING  THEY  ARE"
"dennis carpio","precious metal standard already established even befor mossese and roman empire era began"
"Erik Stronghold","A lot of economist in the comment section! I’m betting that they don’t even know the different kinds of inflationary causes?"
"Channel of Hope and Inspiration","I think the online sabong affects the inflation rate of many people the cause of broken family "
"sonny solomon","mga ofw tulad namin ang nagdadala sa pinas."
"jomar Yunting","Philippines should need oil production as soon as possible we have a lot oil. For example in Mindanao and in Palawan"
"Mitzi Villanueva","OFW and BPO workers "
"Shielo Nace","Why are we selling out gold while other countries are buying and hording gold and silver?"
"Patrick Sabat","And the currency is still weak?"
"L T","When you are a 3rd world country with prices of goods of a 1st world, 4% or 5% inflation rate is VERY VERY HIGH."
"dennis carpio","but it has no effect in ordinary citizen"
"Munch Go","Deflation in price ️"
"Niño France","DAHIL NASA MABUTING KAMAY TAYO. BBM FOR PRESIDENT"
"FBI","More gold means more inflation rate"
"No Brand Internet User","With Leni x Cina tandem we can make Philippines no. 2"
"Caroline Kennedy","INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET NOW."
"mak tivi","Inflammation is speeding up, it is now May 2022 and it is 4.9%
We dont need an over confident governance we need to hear about back up plan"
"JhonnLoydd","IT BECAUSE THE CENTAL BANK PH HAS ALOT OF INTEREST TO THE OTHER BANKS FERDINAN MARCOS DEPOSITED ON, FOR THE BENEFIT OF FILIPINO PEOPLE"
"NEWGEN NG","no matter how high is the inflation rate Pilipino can survive because we have a good government who gives a lot of benefits such financial support for the poor family from the government thats why we dont feel those high inflation.."
"jeff strong","Current Philippines is great for rich locals but they are getting behind even to Vietnam.  Cambodia and Laos will eventually pass Philippines because it doesn't want to develop using foreign capital using it's anti foreign investment policy. Outsiders need 2/3 local ownership to start a business and foreigners can't get loans from local banks.  Rich Filipinos don't want to share their wealth with outsiders which means they are doing just fine without outsiders and want to maintain their wealth thus nothing changes in Philippines.  It's one of worst investment country for outsiders."
"Henry Heinz Martinez","This man is the best banker in world "
"Christy Rios","Minimum wager po ako pero medjo nakakaipon naman....pano kasi yung ibang nagsasabi na kulang sahod sa alak lng kasi na pupunta at hindi sa pamilya kaya kulang talaga"
"Murimi Tempest","What inflation? Didn't we already have one?"
"abo ante"," Tama, mas mahirap ang Pinas, dming pamilyang gutom, lahat ng bilihin tumaas,,, akalain mo yung 3beses momg ginagamit araw araw, 700+ lang ngayon 1000+ na."
"dennis carpio","no country on this planet cannot affor to go gold standard just stop that kind of stopidty"
"Manny Fernandez","so the Philippines is unique...ok."
"Sukuna","i agree daming liñumiliit"
"Ry Bil","Great work Sir Benjamin Diokno.Kudos Duterte Administration"
"Teresa Calipco","The Gold Standard is back."
"Dennis Magbanua","Minimum salary rates of Pilipinos are already really low."
"His Holiness, Patriarch Hilarius XIX","The comments made me lose a few brain cells."
"Aquamarine","Thanks to BPO Companies."
"KEY MONKEY","inflation in the philippines is ever occurring when everyone else can enjoy economic properity, pilipinos are getting ripped-off!"
"Precy Tocal","gasoline is too expensive "
"Mugiwara Mugiwarano","Full video?"
"CLAWS","Very bright...️️️️"
"victor kalashnikov","deference talaga. dahil pag na gipit ofw gagatasan. habang nag papa taas ng sahod. ang mga opisyal., dahil ayaw nla na ma butasan bulsa nila!"
"Allan Ameng","Boss, Sir. Ng BSP. Sana bigyan pa po ng isang pag kakataon ang mga lumang pera, di po kasi umabot yung pera ng ate azon ko, matanda na po may sakit, tinago nya sa cabinet  nya po, Godbless, po mapalitan po sana kahit po pambili ng gamot po,"
"Pocholo Khan","Alpha Omega will take over the Philippine Central Bank 
TVM LSM"
"MLC Ironforce","haha, ours is different."
"dennis carpio","even metals has inflation everything on this planet has an inflation even poop of bird"
"Junna Soringa","Inflation sa abono ng farmers 300%"
"dennis carpio","really diokno you citizens cannot afford to buy piattos why youre too much proud of yourself"
"Fonsi Luer","Salamat sa mga OFW! madami pa din tayo $$$. Utang lang ng utang punuin mga bulsa ng nasa gobyerno!"
"arnold the great","palibhasa puro liga at beauty pageant lang inaatupag ng gobyerno kaya puro BPO at mga OFW lang meron tayo help startup business and we can be much more than that."
"James Perez","One of the best administration in the history of the Philippines"
"Aquamarine","BPO INDUSTRY IS THE ONE WHO HELPED THE ECONOMY DURING THE PANDEMIC AND ALSO OFWS PERIOD. NOTHING ELSE."
"theedwardian","My inflation is cooler than the other girl's inflations"
"Tito Bobby","Inflation in the Philippines is different from other countries because inflation has been around in the Philippines for decades "
"bing11armo","My preciousssss..."
"Kristian Azarcon","naiinis talaga ko sa chicken eagle logo nila haha"
"Loy Arguelles","Malapit lapit ng matapos ang sarsuela."
"DOT NET TUTS","We should buy Russian oil at a discount"
"𝕮𝖍𝖆𝖗𝖑𝖎𝖊 𝕯𝖊𝖑 𝕸𝖚𝖓𝖉𝖔","Ayam, bolahan na naman. Sandbagging numbers when it doesn't work out for you is wrong."
"MÄDNES","Are you not ashamed of your reporting... Double standards"
"dennis carpio","time to change the facking monetary standard into copper standard lets end this stopidty of little minority"
"Khrysostamos","2%-4% target goal? And ""smack in the middle"" damn this is funny. The price of gasoline has drastically increased by more than 4% by these last few months, excluding that, the price has been increasing more than 4% every year for last 6 years. "
"OSzy","syempre kinompara mo sa western countries. makaiba talaga Halos lahat wage earner dito sa pinas, nag commute lang araw araw papunta trabaho at pauwi tapos compare mo sa mga western folks na kasama ang gasolina at maintenance ng sasakyan sa budget nila."
"Philippines Unfiltered",""
"John Niccolo Asoro","Chinese imports help alot hahhaha even vegetables from china and oil hehehehe"
"air wind","We need another gloria arroyo president. :)."
"Urbar Adhikari",""
"Tequila Wolf","dahil yan ngayon sa election."
"kick Ass","Fertilizer scam...."
"Cris amper","GOLD STANDARD NABA  ANG MGA BANSA"
"John Matthew","Saint Joseph comfort of the afflicted Pray for us.."
"Srprs Mthrfckr","Let see what happen after bbm became president"
"Liam Gekzua","sa panahon ni Tatay Digong..grabe tumaas ang mga bilihin..ang isang daan mo isang kainan mo lng sa carenderia yan."
"Your Mom and Dad","What's the point of even running an economy when we can rely on the Tallano gold. We'll be rich. All ofws will go home they'll just become gold traders."
"Peter Lim","4.3% my ass, cause you haven't been to the market place, it's 50 to 100% increase in the common goods. He he he!"
"J C","Sa sobrang galing ni Diokno sa pangbobola, ilalagay na mukha niya sa 500 peso bill"
"Jon Brillo","Usury or lending money with interest is forbidden and cursed by Allah !"
"YL_009","All american allied country must demand oil supply with cheap price in order to fight inflation. If america refuse to do so, all   allied country must buy oil  from russia with out sanction."
"Crypto Daily","Inflation rate doesn’t matter in Philippines, when 90% of the Philippine people lives in poverty"
"demonyo 👹kabastusan pinapanood ko.👿","Yea nice goverment, but labor force is crying for small salary,"
"Dollia Pagarpar","Kpatid too ni joke no.. Dilaw parin nakaupo sA banko"
"super sonic","Main problem is overpopulation. Madameng working middle class ang sumasalo ng lahat. Ung mayayaman lalong yumayaman. ung mga below poverty line eh may ayuda. Pero middle class at ofw? wala. sila n nagbbyad ng tax pero hindi eligible para sa ayuda. Tpos andmeng walang trabaho hindi nakapagtapos. Agricultural land n ginagawang commercial na walang economical output para sa bansa ang msama pa sinisira ang kalikasan . (e.g camella, mining)"
"Manor","The government shouldn't be a  capitalist, it should be for the people if oil is the reason of the inflation government sh e ould reduce the tax for oil for the people.unles of course your  thanking care reve newself  of  your country, you know, give it to the people stop thinking about profit,your government ,it should be for the good of the people not for the good of profit or revenue."
"John Matthew","Pls. Pray the Rosary & Devine Mercy Chaplet to free all countries from war, hunger, calamities, abortion, corruption, tyranny, drugs, homosexuality, euthanasia, pornography, slavery, communism and all evils. Pls. Pray for peace and joy on all families and home.."
"bernardmailman","Philippines collapsing under a bbm win... This is going to get real bad."
"B I M O","Just commenting for the 1000th comment. Hehe"
"dennis carpio","why you animals forcing the people to go gold standard even majority of the people cannot afford it just print the money accdg to your export labor and resource"
"Jann Leo Gadil","Green screen"
"BS 19","Government should stop claiming. Philippine economy relies with ofw remittances"
"ED ILARINA","More lies from an authoritarian govt...give us a break"
"Ashish Tanwar","Philippine is going to face its worse financial crisis in few years, here no one is talking about the Philippines debt, god bless Filipinos with the upcoming elections, country really needs sm1 who can clear the past decade mess, otherwise all will forever OFW"
"Kodak White","philippines has more gold that people dont know about"
"Ma.lourdes Marmol","Sana nga po merong coins na plain lang ang basihan ay color parang RED ORANGE GREEN YELLOW BLUE OR ROSEGOLD like and ang mga lahat nang bayani ay ilagay doon sa papel like DR. JOSE RIZAL AND LAPU LAPU my opinion suggestions lang po..."
"will liam","Nonsense?"
"Michelle Jue","Inflation still an inflation,  whatever % that is, still a burden to all."
"BenteLog","lokohin nyo ang sarili nyo."
"Here There Everywhere","Gollum"
"George de Cruz","pelepens nambah wan"
"Safaril Azhar","Port late lunch I'm sorry"
"AlphaPhiChuFafi Onse","The true Philippine economy is the sari sari stores, tricycle and jeepney drivers, stalls, ofw these people are the true Philippine economy................ Non stop flow of money"
"An Unjust Peace / A Just War","except the Philippine government keeps adding new nonsensical taxes that blow any talk of low inflatoon out into space.

sugar tax"
"PROLIFIC_EDITOR87","Stop starving the filipino people and stop being corrupt"
"Yodaddy","You better bless your conservative women. More money coming in than coming out  All those tourist are taking the hook."
"ratbu neptune ratbu","propaganda hahahahah"
"LAST OUTRIDER","This is BS. Even an amateur behavior analyst can see he does not believe anything he is saying.  More importantly this is not a person who makes decisions or creates policy by the way he talks.
  1  Philippines has 9 months reserves"
"Hayden Davidson","Be real fool. You're delusional. The USD creates inflation globally. And, America printed 80% extra USD, which means inflation for important things is much higher (land, apartments, houses, cars)."
"Alex Lukban","Naku si ate,ang daming pwedeng gawin para makatulong ka. Pinamili mo pa panay processed food nakatipid ka nga matetegi ka naman agad sa sakit,nasa diskarte yan ate,isipin mo na lang yung ibang pamilya nga ang budget sa 1 araw  30-50 pesos,ako walang trabaho pero nagbebenta ako ng kung ano ano suka chili garlic,nagtanim ako sa paso ng pechay sili sibuyas kamatis nasa tao yan.. jusko di ako naniniwala na 5k tas di nagamit ng AC,kame everyday almost 24hrs bukas tapos may ref pa kame computer tv washing ang bill namin 4k lang.."
"Eunoia Eunoia","Karamihan Ng mamamayan naghihirap ngayon pero Ang mga pulitiko at mga kasabwat nila na negosyante tuloy lang sa pagpapayaman"
"「Mark」 Mark","ang hirap talagang maging mahirap!"
"Adventures of Us","Sana tlga maayus na problema sa pinas"
"GALLEGO BONQUIN","Palubog n talaga ang pinas "
"Lifestyle","kaya hindi yumayaman ang mahihirap kasi ang ulam sosyal. Sana matutu rin kayo kumain ng tuyo. O mag tipid sa pag kain. Hindi puro masarap ang pag kain. Mag ipon din kayo ng pera para sa future! at sa mga taong  ng sasabi na tunkol sa mga housewife  na  wla silang trabaho, at wala silang ginagawa. Mas kawawa pa nga sila kasi lahat ginagawa nila sa bahay walang bayad. mag linis ng bahay at mag alaga ng bata mag asikaso ng asawa at anak. mag laba at mag badget ng pera. at magbayad ng utang,  Buti pa nga ang katulong may bayad ang housewife wala!  kaya sa panahon ngayon maraming babae na ayaw na maging housewife mas gusto mag trabaho nalang,  kasi bandang huli sasabihin sa kanila ng asawa nila wala silang na tutulong. Pero ang hindi nila alam na losyang ang babae sa sobrang asikaso sa familya. Kaya hindi ko masisi ang ibang babae na hindi gusto maging housewife."
"V R","Hindi ka talaga mabubuhay kapag nagrerenta ka pa. Maganda lang sa kanila sa kanila ang bahay. Tapos 5 anak medyo mahirap nga yun, kailangan ikaw na misis medyo may sidline hindi pwede full time kasi wala naman maiwan sa bahay mag asikaso sa mga bata. Dapat mga anak niya turuan niya tumulong malalaki na. Mag aaral pa ng college sakit na sa ulo kung isipin."
"Mica Ella","very good mother. ️ mahal na mahal niya famiky niya. ️ Grabe ang mahal naman ng koriente! baka may naka kabit jan ba."
"multilinda09","gumawa ka ng mga kakanin, magtinda ka, pati mga anak mo turuan mo. hindi pwede isang sweldo lang sa panahon ngayon, kahit sa ibang bansa pag nasa minimum ka lang dapat parehong me trabaho. Tapos 5 pa mga  anak mo, kelangan talaga mag isip ka ng pag kakakitaan, dito nga sa lugar ko 2 lang anak talagang kayod pareho mag asawa, gutom din talaga abot mo pag marami kang anak."
"DyNaMiC King","Gumagamit kami ng AC from 10 pm to 8 am araw-araw. May ref pa at ibang appliances ngunit 3k lang ang kuryente namin dito. Bago lang kami nagka bill ng 4k dahil din siguro sa init ng panahon "
"analyn era","Sobrang laking pahirap ang ginawa ng gobyerno, ayaw lang nilang tanngapin ang kapalpakan ng desisyon nila, palibhasa malalaki sahod nila kaya di nila nararamdaman ang hirap ng pag bubudget"
"Alex R","Iniisip mo pag ang isang tao ay nasa ibang bansa sasabihin nila mas mahal ang bilihin kasi hindi piso,tapos sasabihin nila mas mabuti pa sa pinas mura ang mga bilihin samantalang pag sa pinas ka nakatira ang mamahal ng mga bilihin para sayo..Mas mahirap yata ang buhay ngayon kay sa una kasi mga bilihin nag taasan wala naman problima dun kung marami ka lng pera. Ang mga mayayaman ang hindi mag hihirap bilhin ang gusto nila kasi marami silang pera,habang ang minimum ang sahod mag toyo nlng araw araw masarap rin naman."
"Lily Cruz","Grabe kasi yung dami ng anak !! Sa tuwing nakikita ko to naiirita ko !! Bwisit"
"Rolando Tomas","ang  hirap pa niyan, yung mga anak, eh hindi pa maubos ang pagkain, minsan magtitira pa. haha ate turuan mo naman yan sila na ubusin ang pagkain at wag magtira kasi saying."
"John Cruz","Ang makakaramdam ng hirap yung nasa minimum wages
Dahil sila yung limitado ang sahod at pang balanse ang ekonomiya. Opinyon ko lang yan"
"Jasper Domacena","maganda kung lumipat nalang sila sa probinsya mas maginhawa ang buhay"
"Inday ivie in Norway","Swerte parin pala kami na nakatira sa probensya kasi nakapagtanim. Kawawa yong nasa maynila at iba pang malaking siyudad halos binibili lahat. ."
"Janka Vlogs","Kaya nga di tayo nagugutom kasi masipag tayong mga Pinoy.."
"Mi xie er","nag bago nga ang bansa ehh tumaas naman ang mga bilihin ang hirap talaga sa pinas kapag walang work wala nga2x"
"Jai","It's either hindi ka nagsasabi ng totoo na hindi mo ginagamit ang AC nyo or may nagju-jumper sa kuryente nyo ate..."
"Ma. Leazel Decino","Ang mahal mg kuryente niyo Ate. Baka naman may nakikikabit dyan. Ang mahal masyado. D naman ganun kamahal ang kunsumo ng ref."
"AM Angcaya","Ate may nakiki jumper sa linya nyo! Ako lahat dekuryente sa apartment, dahil bawal ang gasul. May aircon computer pa halos 12 hrs ako mag trabaho sa pc. Pinaka mataas na bill ko 3k++ lang di umaabot ng 4k"
"John Carreon","Ganda ang buhay sa probinsiya.. MURA ANG BILIHIN..."
"Sheena L","Apektado talaga mayaman o mahirap"
"Nini","ang mahal ng kuryente nila. Nakaka 8k kami tatlong aircon yon walang ptayan yung 2. Baka naman may mga naka connect sa kanilang kapitbahay "
"Banana Que","Dito sa probinsya pipitasin mo lang ang mga gulay o prutas ng libre puwede ka pa nga humingi sa kapit bahay lalo na pag durian at langka an lalaki pa"
"kate ann","Ang hirap tumira sa pinas"
"Joys","Mukhang matao sa lugar nila ate, pwede syang magtinda dagdag panggastos din yun."
"Catherine Lista","Grabe ang mahal nmn ng kuryente pno ngyari n nsa 5k ang bill nya?"
"John Benjie Barnuevo","ang inflation o ang pagtaas ng bilihin at serbisyo ay noon pa nangyayari ang magagawa lang ng ating gobyerno na pabagalin ang pagtaas ng bilihin o serbisyo"
"For ever","Buti n lng libre ng Mga gulay s probinsya sarap ng buhay, sariwa p ng hangin, d kailangan ng pera pambili ng Mga gulay kc ngtatanim kmi ng gulay, mhirap n tlga ng pilipinas."
"Jean Peaj","Ang mahal ng kuryente nila ate baka naman maraming nakikikabit diyan"
"Zandrew Morano","Itlog noong 2018: ₱6
Ngayong 2023: ₱9"
"psoriasis and psoriatic arthritis journey filipino","Pag minimum sahod hirap pagkasyahin lalo yun wala sa manimum sana matulungan tayo ni duterte . Sabi ko sa nanay ko uwi tayo ng probisya"
"John Carreon","Labuyo dito sa probinsya... tag P1.00 ang isa.. Hindi ko feel ang inflation.."
"steven badenas","kaya pala malaki ang bill ng kuryente dahil nag titinda ng yelo bukas ata sara ang ref kaya malaki ang hatak sa kuryente"
"Davina Villafuerte","Ayun naman pala makakaipon para sa mga build build ek ek. Pero bakit utang pa rin ng utang si dugyot, at san napupunta ang mga inuutang nya gaung mas lalong dumami ang mahihirap."
"Jovi Ne","Para sakin sana lang lahat nung inutang ng gobyerno para sa infrastructure projects matapos kasi kung hndi patay tayo dyan."
"mark mia","Mas better wag mag anak ng marami"
"sherard Deomano","grabe naman 5k ang bill.. edi bawasan pg gamit ng tv, aircon at ref.. ganun lng naman. pra mka tipid.. disiplina lng"
"Kimberly Dantes","Lol, from 50 kls to 10 kls na lang na bigas? Char! Mas maga adjust pa guru tayo sa ulan kesa sa rice kasi kahit walang ulam basta may kanin, solve na."
"Arcturus Ortiz","Dapat kung ano yung mahal wag n muna tulad ng repolyo bigyan ng alternatibong gulay na mas mura"
"Megumi","grabe naman po ung kuryete e 5k, samin 3 pc, 4 fan sabay sabay may tv pa nkaka 3k lang bill namen"
"Nate • 18 years ago","5k+ kuryente. kahit saakin na may salary na . di ako nag mamayabang. 150k / month. malaki na yang 5k a month! "
"PV vlogs","Napunta ako dito gawa ni Mam Leni Robredo , si Mam Venuza kahawig din ni Mam Leni"
"Lily Cruz","Ang dami nyo kasing anak, hindi problema ang pagtaas ng presyo, ang problema dito yung KALIBUGAN nyo pong mag asawa"
"JAN JAY RAMOS","Wag na kayo kumain para hindi kayo gumastos okay reklamo kayo ng reklamo"
"Mari Beatriz Carlos","8:05 never kong makakalimutan tong sinabi niya at 2yrs ago ko pa napanood to. Get off your high horse. Just my opinion."
"Rho Ran","Naghihirap ba pinoy??? Punta kang mall kaht weekdays puno ang parking, bili kang milktea hanggang pinto ang pila, lingon ka mas maganda pa cellphone ng katabi mo sa jeep kesa sayo na nagoopisina "
"Jasper Domacena","ang mahal naman ng kuryente nina Madam 5k? parang 24 oras na naka aircon yan dito sa probinsya namin eh"
"NikoTech TV","Mahal ng kuryente mo ateng 5.8k kame may PC, TV, Freezer, washing m. & 3 electric fan + exhaust fan 2.5k-3k lang inaabot"
"Byun Baekhyun","5k walang aircon? ako nga 24 hrs nakabukas aircon ko sa dorm 1-2k binabayaran ko"
"알니bvip","Ang mahal ng kuryente nila .. 5k ~"
"Ern joseph Buela","Jusko ung 5k na kuryente e katumbas Ng dalawang linggong pagpapaandar namin sa aircon Yan dito sa probinsya..."
"Shaira Sonio","mahal nman ng kuryente nila 5k di pa gmgmit ng AC yan. bka nman my nka kabit sainyo na iba"
"Orange Ville","Wow si ate nakuha pang mag HAM. Hahaha. Kung tutuusin kasya na ang 500 sa buong maghapon sa pamilya nya kung pagkkasyahin."
"wealthy Pearl","huwag ng kumakain ng repolyo para bumaba ang presyu"
"Vhinzkhy Belgica","Marami na ngang  naghihirap sa pilipinas..tataasan pa mga bilihin.... Hays.... Ayaw ko na talaga sa  earth..."
"elord samad bossam","Ang tanong ko paano nakakaapekto ang DRUGS sa Pilipinas?"
"SIMPLY RECIPE","Mag malunggay n lng libre na masustansya pa"
"sheila benito","5pesos yelo d nmn mineral tubig"
"Edmund Jadol","buti pa sila yng 20k na sweldo na pag kakasya sa 7 people.... ako single hindi kasya sweldo ko haha"
"angella's simple life","Pwede magluto ng snacks dyaan kc madaming Tao dagdag tulong narin"
"Darwin Jimenez","Ang Bansang Gutom.Philippines"
"Kevin Ian Labrador","Kuryente 5K? Seriously?"
"Irish Quiwa","Oa. Nkita ko ung bill na 5k may past due balance na 1k plus sa previous month (maybe d gumit ng aircon) nxt bill is 4k plus (gumamit ng aircon im sure)  kaya naging 5k. Wag oa. Sa liit ng bahay impossibleng magbill ka ng 5k ng isang bwan ng walang aircon."
"MEWGULF YIZHAN Y-BL","Hnd ko kinaya yung 5000+ yung kuryente"
"Michael Canasa","Ung breakfast nyo ate medyo mahal ..pero ok ..nadin kung un Ang gusto ng mga Bata .di go' tiis lang te"
"Fueled by Croutons","So much plastic. Good heavens."
"John Markton Diana","bakit naka green screen yung intro?"
"Nash-Air TV","Mas. OKAY parin sa Probinsya kasi LIBRE Ang TUBIG AT ILAW."
"Sheena L","Nagpapayaman kasi ako kaya may implation"
"Kaixoo Aeri","Grabeng kuryente yan 5k, samen nga medyo malake na yung bahay pero 2k lang ata"
"Ramon Florentin","hehehe halos ayaw ko na kumain at magpa gas......"
"Lily Cruz","5??? Lima??? Yung anak nyo??? Totoo ba???"
"Geraldine Kabatay","Bkit 5k kuryente parang masyadong malki?"
"Alfel Joy Luceñara","masuwerte ka na rin ate 500 budget mo. Sa amin nga halos 200 lng 3 kainan na yan"
"Irish Quiwa","And fyi ang mantika sa palengke matagal ng 20 pesos yan nag 10php yan nung grade 2 plang ako hahaha"
"Vienne Allen Timothy Dela paz","Ang taas ng kuryente kaloka"
"Lily Cruz","Napakadaming anak jusko, ang lilibog tapos galit sa gobyerno"
"flasz Anthony","Sa pag didiskarte n Lang Kung ang gulay ay mahal may mga gulay nman n Mas mura at masustansya rin nman..."
"restless heart","Kaya di na ako nkapg asawa dhl sa apektado din ng inflation rate kht sawa nako kay mariang palad tinitiis ko na lang."
"Brian Joshua Rivera","Parang inaantok yung reporter pag nagsasalita."
"Jem Co","Ano na nangyare sa administrasyon ngayon ! Parang nagkamali ako ng boto  haysss"
"Fred Hao","Cute si ate"
"Ronald Penaranda","WOw 5k ang electric bill"
"Duass","5k wlang aircon? hahaha ano yang bahay nyo ata my sariling meralco eh madame ata naka connect hahaha"
"Norfaydah Mona","Medyo may kaya.nmn eh parang UK nmn pang kain araw araw eh"
"A A","Ang mhal naman ng yelo mo ate 5 pesos ang liit pa.haha"
"Y U N N A","Hello 2021..380 ang baboy hahaa DDS pa more support parin kht tag hirap na"
"Shiela Garcia","plastic plastic plastic "
"yi sah","bkit mahal ang kuryente sa pinas, dto sa taiwan mhigit 1k lng binabayaran ng amo ko umaga at hapon bukas ang aircon.."
"Airhis Torrejos","Para kna ring nagrerenta sa taas ng kuryente mo"
"Jhane Baliat","3 kuntador s bahay ko, with aircon na 2.. 5k+  bill ko... may tindhan ako 1 ref 1 chest freezer...   may anomalya kuryente mo..."
"Gilbert A.","GRABE ANG BILL NILA SA KURYENTE. KAMI 3 ANG REF, 1 AC 6 HRS A DAY ANG GANA, THEN TV AT IBANG APPLIANCES, NASA 6K ANG MOTHLY BILL."
"Anna Christine Borines","Hindi ba redundancy ung “pagtaas” at “inflation rate”? Title pa naman. "
"Albert Reyes","Sino batong narrator nato, walang kagana gana! Walang kalatoy latoy!!!"
"D Olarte","di marunong si ate , pwede siya magbenta ng mga frozen goods dagdag kita instead of selling ice"
"Alvin Roy Quinto","Bka may nakajumper sa kanila"
"Unno Ochoa","Eh kasi naman ate. Bakit ka nag anak ng lima?"
"Ronald Imperial","Mahal kasi ng yelo mo teh limang piso isa lol"
"oriontoshiba","Kontra tlga sa train law ung gma7"
"OK CHAN","Boysit   750  tsk tsk"
"Lui Hermoso","Madumi yun yelo"
"jonsen","Hindi lang sa pilipinas may inflation..buong mundo na yan..Kung kontrolin ng gobyerno yan..Aangal mga negosyante..sisihan na nman..Kahit magtakda ng presyo gagawa ng gagawa ng paraan mga negosyante para kumita...Pagtumaas economy tumataas din bilihin.."
"ace Acorda","Yeah duterteNomics"
"Stan Czyk","Yelo, 5 na??  "
"Ada Ang","Bat galing sa gripo ang pang yelo mo teh"
"EverythingThat'sViral","ako tuyo lang solve na ako"
"Jolh Evan Kirch Paco","Pancit Canton na ulam ayos na."
"Harold Godwin dela Cruz","Of course and it should be!"
"Addie","Waiting for 20 pesos na bigas "
"VIXER CROUCH RICHTER 1","ANG SAGOT NG GOBYERNO. MORE TAXES "
"Da Gre","Forget sugar, phillipines needs to discover wholemeal bread"
"Al","Andami na kasing populasyon ng mga pilipino kaya maraming kulang sa trabaho kaya nga nagka ofw eh"
"Aristotle Nicolas","Ang unang sulusyon sa pagtaas ng mga bilhin ay tanggalin ang excise tax ng petroleum products, miscellaneous products,  alcohol products, tabacco products, mineral products. 
Bantayang mabuti ang mga presyo ng mga bilihin at hulihin ang mga mapagsamantalang mga supplier. "
"Denns","Yeah tell the bank to print and print without it backing the paper money.  Printing isnt the solution.  Why not go back to gold standard."
"Brad Ryan Roy","20-peso/kilo rice, where you at???"
"lorenzo magazzeni","With the loan (it means debt forever) from the world bank - good luck"
"Rudyard Cabugao","Yan ang napala nyo"
"Divina Horsewoods","Hidden offshore wealth would help ."
"Jotham Dayag","Kailan kaya magiging 20 pesos ang bigas.. "
"Dean Cafe","Waiting for the tallano gold."
"isidro valida jr","ROEL ABABA TARGET KALBO MICHAEL JORDAN"
"Thomas Christopher White","Really? Most Filipinos don't even know what inflation is."
"isidro valida jr","ROEL ABABA TARGET KALBO PHILIPPINE NATIONAL POLICE PNP CHIEF SENATOR RONALD BATO DELA ROSA"
"Baron Villanueva","I think its pork and vegetables are leading the inflation. The swine flu combined with the recent typhoons tightened supply. Price increases in these two items are more have a greater effect in poor countries where a larger portion of your household budget goes to food."
"JVee Veneracion","didn't vote for the last guy but 5 years ago our inflation numbers were so good it was negative at some points."
"Dreamylificent","I knew it, this thing will happened... Based on my observation before pandemic and every shit stuff. People will struggle especially those who are below poverty line"
"H Pdpco","The problem is this.
People only want to eat pork, beef and chicken as their sources of protein. If people only learned to eat other meats like rabbit meat, meat inflation wouldn't be a problem. Rabbits breed fast (just 30 days of gestation with 6 to 12 babies) and grow fast. People should learn to eat other meats, and the Department of Agriculture should start a program to encourage farmers to raise rabbits. Or just be a vegetarian. Simple solution to a simple problem. We just have to diversify our sources of food. The Filipino diet has to adapt. Don't be infexible. Only the most adaptable can survive. That is the law of economics."
"Welly The Explorer","Mga kapwa ko pilipino ito na ang panahon para tayo magtulungan wag tayo padaig sa pandemya."
"Sensei Jen","Kasi sa walang katapusang lockdown lockdown. Impending movements of people and goods, sobrang mahirap na requirements para lang makarating sa consumer yung produkto. Kagagawan eto ng kawalan nila ng economic plans para sa impact ng COVID-19."
"Cecile Dela Rosa","Mas malala pa naaging resulta ng community quarantine kaysa sa covid . Mas malala pa epekto sa comuunidad ng kahirapan kaysa jan"
"Leonila Espanol","Grabe na ang mga.bilihin sana magising na mga pinoy sa pag vote sa mga tatakbo sa susunod na election,"
"Octavio Belarmino","open up the economy by lifting quarantine restrictions."
"Brian Kendall","Sobra sakit ang ulo type of situation in Puerto Galera..
Walang barko,  Walang Tourists..
Walang pera dito 
#damnedcovid"
"fix it","Galing talaga ni tatay Digong. Number 1 na naman tayo.

#Duterte2022"
"Jay Lin","mukhang maganda kapag maibalik yung 15 billion"
"Luke Jeong","What did GOV'T do while it was going up and up?????? Why did they let it go higher and the highest?"
"Hans Quintanilla","If not acted upon, we might suffer the same fate like Venezuela. (Halos mga nabubulok na karne nalang binebenta sa mga merkado.)"
"ionna noza","Pa taas ng pataas ang bilihin ngayon grabi tapos yong dollars sobrang baba na"
